Wavelength	a1A	a2A	a3A	a4A	a5A	a6A	a7A	a8A	b1A	b2A	b3A	b4A	c1A	c2A	c3A	c4A	c5A	c6A	c7A	c8A	c9A	c10A
400	0.0346732191048447	0.0230129295033298	0.0270486377818031	0.028878888344147	0.0341966197521415	0.0299888621696482	0.0305177074473186	0.0281635411727765	0.0601652506679293	0.0295737722293189	0.0314628891464082	0.0253887253735906	0.157907000522307	0.0215334328447136	0.0240548502217	0.0180193467847849	0.035877203395882	0.0272468915667773	0.0228495428834555	0.0234041565131007	0.0302145882604891	0.0241571350057955
401	0.0351653034565082	0.0258660557502954	0.0319703038443611	0.0337330986600563	0.0373722989144765	0.0327550899882011	0.0287046671441035	0.0314316388550583	0.0585673728191683	0.026298563908349	0.0281753156643953	0.0288669814028282	0.158320669698359	0.0191597270227757	0.0225574485440908	0.0138872891918007	0.0382519684696721	0.0232900337736706	0.0279786220338882	0.0324635265258241	0.0359078482518407	0.0314087136983139
402	0.0278635946386034	0.0211433474594235	0.0281625458933768	0.0271314901688496	0.0321098404943317	0.0301847594623696	0.0263866077291677	0.0290796979953428	0.0596392862309848	0.0304814184592963	0.0317472647658841	0.0296725284672734	0.160528909264423	0.0180162766837136	0.0237397615372261	0.0140762188930581	0.0353895095492621	0.029662275072371	0.0298549922311629	0.0254972543603925	0.035596168559944	0.0268253753694287
403	0.0258302137972049	0.0195855109886689	0.0269887603242743	0.0245151274085448	0.0295625118162653	0.0285082199529661	0.0273812781861734	0.0278729990019084	0.0591243459547396	0.0319404605130578	0.0316080760794266	0.0282199216882943	0.159654038437703	0.0163334904654974	0.0229369580788148	0.0148644668753311	0.0343694285413583	0.0318732445029117	0.0277083636105734	0.0202054158287259	0.0334310267559586	0.0206930630222333
404	0.0321031972428203	0.0239226064027701	0.0314846632962131	0.0298113072593193	0.0328666488133613	0.0299821739883281	0.0316774452786958	0.0297951116461751	0.0563126863207754	0.0282665582068296	0.025931252078637	0.0254160981149959	0.155118387362008	0.0141009893026039	0.0196017853505985	0.0147735068690726	0.0365472125610049	0.0262208313700711	0.0225761677778351	0.0223272428451736	0.0312199949223124	0.0176152735267562
405	0.0344833186263188	0.0258323866671508	0.0348927157415786	0.0315267969073625	0.034978614605034	0.0335950976979221	0.0309902625141188	0.0317048876975311	0.0556570563212842	0.0286394741118009	0.0274729767483725	0.0254897032848725	0.153698681538855	0.0142072107983125	0.0203262662382067	0.0129847498500819	0.0340506413456042	0.0237698239674938	0.0223248830055896	0.0256760578089579	0.0306153023816881	0.0207885860216278
406	0.0344775386290837	0.025285910753333	0.0351733701619869	0.0301899333686886	0.0348470961670775	0.0354746653002171	0.027546229752764	0.0321422548985594	0.0566910883655486	0.0302157311296048	0.0314792907341462	0.0275683459515078	0.155937298538879	0.0160841105078939	0.022827071738963	0.0118636385017439	0.0306430246987783	0.0238234272881154	0.0253863129204902	0.0272746725391068	0.0314469292735109	0.0254673039318156
407	0.0350568228344315	0.0230528857118833	0.0306345120336689	0.0275150128901744	0.0319480677928098	0.0312652540141998	0.0247093184612248	0.029722967042811	0.0584202239145697	0.0287856748566547	0.0311881641921801	0.0301999565408371	0.161759671050982	0.0187973642173056	0.0238113708080941	0.0142308505011454	0.0314299585007166	0.0244256643003841	0.029027092875133	0.0243148669095146	0.0332695387745579	0.0257805914901243
408	0.0341180588993419	0.0246560276937499	0.0294640681380571	0.028842510460608	0.0325328242068628	0.0308585936954274	0.0262082822100611	0.0299442936296803	0.0595119607307297	0.0292932322929269	0.0316124862147529	0.0298271983007128	0.162823126948079	0.0208564076028779	0.0241424891459715	0.0163890492779043	0.0329763440521606	0.026372420705576	0.0295997261448605	0.0243017687097271	0.0344326723027516	0.0252903641578728
409	0.0321239035021097	0.0283125824442731	0.0316776269684286	0.0326688634299063	0.0353923757822455	0.0338679451928958	0.0301359209923188	0.0324930458200927	0.0597149309263767	0.0313677699385268	0.0325658938153753	0.0270598314821732	0.159428602233822	0.0214284068260502	0.0238080490901026	0.0167005345664252	0.033925354231329	0.028513554771839	0.0276876474257809	0.0271818733551203	0.0344824882708021	0.0250040892851704
